0,0
1,3
2,5
3,6
4,28
5,30
6,31
7,34
8,39
9,48
10,63
11,71
12,81
13,91
14,102
15,112
16,126
17,146
18,171
19,198
20,256
21,334
22,403
23,497
24,571
25,657
26,730
27,883
28,1019
29,1139
30,1326
31,1635
32,2059
33,2545
34,3105
35,3684
36,4293
37,4777
38,5350
39,5915
40,6728
41,7599
42,8453
43,9211
44,10454
45,11485
46,12371
47,13432
48,14354
49,15725
50,17305
51,18544
52,20081
53,21373
54,23040
55,24448
56,26283
57,27890
58,29458
59,31360
60,33065
61,34866
62,37262
63,39826
64,42778
65,46434
66,49405
67,53007
68,56351
69,59690
70,62865
71,67176

